# UNIX        Bx     By     Bz     Bt
1769766240    2.0   -1.9   -0.2    2.7
1769766840    1.3   -2.2    1.8    3.2
1769767440    0.2   -3.3    0.2    3.3
1769768040    1.6   -2.4   -0.6    2.9
1769768640    2.4   -1.7   -0.2    2.9
1769769240    1.4   -2.7    0.7    3.1
1769769840    1.8   -0.8    2.4    3.2
1769770440    0.9   -0.9    2.7    3.0
1769771040    2.4   -0.6    1.6    3.0
1769771640    1.5   -1.7    1.8    2.9
1769772240   -0.1   -2.7    1.6    3.1
1769772840   -1.2   -2.9    2.4    3.9
1769773440    1.6   -1.9   -1.4    2.9
1769774040   -0.3   -3.6    1.0    3.7
1769774640   -1.1   -3.7    0.8    3.9
1769775240   -2.5   -2.9    0.5    3.9
1769775840    0.7   -2.7    0.0    2.8
1769776440    0.1   -3.5    0.1    3.6
1769777040    0.9   -3.3    1.4    3.6
1769777640    0.7   -3.2    1.9    3.8
1769778240   -0.2   -2.2    3.1    3.8
1769778840   -0.4   -2.3    3.2    3.9
1769779440    2.0   -1.3    2.4    3.4
1769780040    2.4    0.1    2.3    3.3
1769780640    2.9   -1.2    0.9    3.2
1769781240    3.0    0.4    1.1    3.2
1769781840    0.7   -3.5   -0.3    3.6
1769782440    1.5   -3.1    0.3    3.5
1769783040    1.7   -2.9    0.2    3.4
1769783640    1.7   -2.9    0.6    3.5
1769784240    1.8   -2.9    0.8    3.5
1769784840    1.8   -2.7   -0.3    3.3
1769785440    2.4   -0.7   -1.9    3.1
1769786040    2.8    0.6   -1.4    3.2
1769786640    2.7   -0.4   -0.8    2.8
1769787240   -2.9   -3.1    1.2    4.4
1769787840   -4.0   -1.1    0.3    4.1
1769788440    2.2   -1.8    1.5    3.2
1769789040    2.7   -1.4    0.8    3.1
1769789640    2.2   -1.9    1.3    3.2
1769790240    1.8   -2.7    1.4    3.5
1769790840    2.2   -2.3    0.7    3.2
1769791440    2.1   -2.2    0.8    3.1
1769792040    2.0   -2.3    0.9    3.2
1769792640    2.2   -2.3    0.6    3.2
1769793240    2.5   -1.9    0.8    3.3
1769793840    2.2   -2.0    0.8    3.1
1769794440    2.2   -2.3    1.0    3.3
1769795040    3.0   -1.5    0.5    3.4
1769795640    3.0   -1.2    0.4    3.3
1769796240    2.7   -1.1    1.6    3.3
1769796840    3.1   -0.9    0.7    3.3
1769797440    3.0   -1.3    0.3    3.3
1769798040    3.1   -0.6    0.6    3.2
1769798640    3.2   -0.8    0.3    3.3
1769799240    3.4   -0.1    0.5    3.4
1769799840    3.3    0.2    0.6    3.4
1769800440    3.2    0.7   -0.4    3.3
1769801040    3.0   -1.3   -0.5    3.3
1769801640    3.0   -1.1   -0.8    3.3
1769802240    3.1   -0.9   -0.6    3.3
1769802840    3.1   -1.1   -0.8    3.4
1769803440    3.2   -0.8   -0.5    3.3
1769804040    3.2   -0.8   -0.7    3.4
1769804640    2.9   -1.2   -0.7    3.3
1769805240    2.5   -1.8   -1.5    3.4
1769805840    2.5   -1.4   -1.7    3.4
1769806440    2.7   -1.0   -1.4    3.2
1769807040    2.9   -1.1   -1.3    3.4
1769807640    3.1   -0.6   -1.5    3.5
1769808240    2.8   -1.0   -1.4    3.3
1769808840    2.6    0.9   -0.7    2.9
1769809440    2.0   -2.6   -0.4    3.3
1769810040    2.4   -2.2   -0.4    3.3
1769810640    2.8   -0.8   -1.8    3.4
1769811240    2.9   -0.5   -1.6    3.4
1769811840    3.3   -0.7   -1.5    3.7
1769812440    3.0   -0.9   -1.4    3.4
1769813040    3.1   -0.9   -1.1    3.4
1769813640    2.9   -0.5   -0.8    3.1
1769814240    2.9   -0.9   -0.4    3.1
1769814840    2.6   -1.8   -0.4    3.2
1769815440    3.3   -0.5    0.1    3.4
1769816040    2.4   -1.1   -1.4    3.0
1769816640    2.3   -1.7   -1.6    3.3
1769817240    1.8   -2.3   -1.9    3.5
1769817840    2.9   -1.1   -1.4    3.4
1769818440    2.8   -0.8   -1.5    3.3
1769819040    3.0   -0.7   -1.3    3.3
1769819640    3.2   -0.4   -0.6    3.3
1769820240    3.0   -0.8   -1.0    3.2
1769820840    2.4   -0.9   -2.0    3.3
1769821440    2.6   -0.7   -1.7    3.2
1769822040    2.9   -0.5   -1.6    3.4
1769822640    2.8   -0.5   -1.7    3.3
1769823240    2.7   -0.6   -1.7    3.2
1769823840    2.5    0.3   -1.9    3.2
1769824440    2.6   -0.6   -1.8    3.2
1769825040    3.1   -0.9   -0.8    3.3
1769825640    3.1   -0.9   -1.1    3.4
1769826240    3.4   -0.6   -0.1    3.5
1769826840    2.9   -1.2    0.6    3.2
1769827440    2.6   -0.1   -1.9    3.2
1769828040    2.5   -0.8   -1.8    3.2
1769828640    3.2   -0.4   -0.8    3.3
1769829240    2.4   -1.2   -1.6    3.1
1769829840    2.9   -0.6   -0.8    3.1
1769830440    2.9   -1.0   -0.8    3.2
1769831040    2.9   -1.1   -0.6    3.2
1769831640    2.9   -1.0   -0.8    3.1
1769832240    2.8   -1.1   -0.6    3.1
1769832840    1.6   -2.0   -1.9    3.2
1769833440    2.2   -1.7   -1.3    3.1
1769834040    2.4   -0.7   -1.9    3.2
1769834640    1.7    0.2   -2.8    3.3
1769835240    1.4   -2.7   -1.8    3.5
1769835840   -0.1   -3.2   -1.3    3.4
1769836440    2.4   -1.3   -0.7    2.8
1769837040    1.6   -2.6   -0.7    3.2
1769837640    2.2   -2.1   -0.8    3.2
1769838240    2.5   -1.2   -0.9    2.9
1769838840    3.1    0.6   -0.6    3.2
1769839440    2.9   -0.6   -1.2    3.2
1769840040    3.0   -0.5   -1.0    3.2
1769840640    3.0   -0.9   -0.6    3.2
1769841240    2.9   -1.1   -0.4    3.1
1769841840    2.8   -1.3   -0.4    3.1
1769842440    3.1   -0.2   -0.8    3.3
1769842680    3.0   -0.5   -0.7    3.1
1769842740    3.1   -0.4   -0.8    3.2
1769842800    3.1   -0.5   -0.8    3.2
1769842860    3.0   -0.5   -0.5    3.1
1769842920    3.1   -0.6   -0.5    3.2
1769842980    3.1   -0.8   -0.7    3.2
1769846640    2.9   -1.1   -0.1    3.1
1769847240    3.2   -0.8   -0.4    3.3
1769847840    3.2   -1.2   -0.0    3.4
1769848440    3.2   -1.1    0.2    3.4
1769849040    3.3   -1.1    0.2    3.5
1769849640    2.9   -1.5    0.1    3.3
1769850240    3.1   -1.4    0.2    3.4
1769850840    3.0   -1.5    0.2    3.3
1769851440    3.1   -1.4    0.1    3.4
1769852040    3.1   -1.6    0.3    3.5
1769852640    2.7   -1.8   -0.4    3.3
1769853240    3.1   -0.9   -0.1    3.3
1769853840    3.2   -0.7   -0.0    3.3
1769854440    3.2   -0.7    0.3    3.3
1769855040    3.2   -0.7   -0.1    3.3
1769855460    3.2   -0.9   -0.3    3.3
