# extracted from cty_wt_mod.dat on Sat Jan 31 07:33:02 2026Z
# prefix     lat+N   lng+E  DXCC
1A           41.90   12.43  246
2A           56.82   -4.18  279
2D           54.20   -4.53  114
2E           52.77   -1.47  223
2I           54.73   -6.68  265
2J           49.22   -2.18  122
2M           56.82   -4.18  279
2M0BDR       60.50   -1.50  279
2M0BDT       60.50   -1.50  279
2M0CPN       60.50   -1.50  279
2M0GFC       60.50   -1.50  279
2M0SEG       60.50   -1.50  279
2M0SPX       60.50   -1.50  279
2M0ZET       60.50   -1.50  279
2U           49.45   -2.58  106
2W           52.28   -3.73  294
3A           43.73    7.40  260
3B6         -10.42   56.58  4
3B7         -16.58   59.62  4
3B8         -20.35   57.50  165
3B9         -19.70   63.42  207
3C            1.70   10.33  49
3C0          -1.43    5.62  195
3D2         -17.78  177.92  176
3D2CCC      -22.00  175.00  489
3D2RI       -12.48  177.08  460
3DA         -26.65   31.48  468
3E            9.00  -80.00  88
3E1           8.98  -79.52  88
3E2           9.30  -78.35  88
3E3           8.43  -82.43  88
3E4           8.83  -81.50  88
3E5           7.67  -80.50  88
3E6           8.10  -80.97  88
3E7           8.40  -77.92  88
3E8           8.33  -79.12  88
3E9           7.93  -80.42  88
3F            9.00  -80.00  88
3F1           8.98  -79.52  88
3F2           9.30  -78.35  88
3F3           8.43  -82.43  88
3F4           8.83  -81.50  88
3F5           7.67  -80.50  88
3F6           8.10  -80.97  88
3F7           8.40  -77.92  88
3F8           8.33  -79.12  88
3F9           7.93  -80.42  88
3G          -30.00  -71.00  112
3G0         -27.10 -109.37  47
3G0X        -26.28  -80.07  217
3G0Z        -33.60  -78.85  125
3G1         -23.65  -70.40  112
3G2         -33.08  -71.53  112
3G3         -35.50  -70.67  112
3G4         -33.62  -70.75  112
3G5         -36.62  -72.17  112
3G6         -39.75  -73.25  112
3G7         -40.58  -73.23  112
3G8         -53.17  -70.93  112
3H           36.00  102.00  318
3H0A         43.75   87.75  318
3H0B         43.75   87.75  318
3H0C         43.75   87.75  318
3H0D         43.75   87.75  318
3H0E         43.75   87.75  318
3H0F         43.75   87.75  318
3H0G         29.42   90.97  318
3H0H         29.42   90.97  318
3H0I         29.42   90.97  318
3H0J         29.42   90.97  318
3H0K         29.42   90.97  318
3H0L         29.42   90.97  318
3H1          39.93  116.40  318
3H2A         45.80  126.67  318
3H2B         45.80  126.67  318
3H2C         45.80  126.67  318
3H2D         45.80  126.67  318
3H2E         45.80  126.67  318
3H2F         45.80  126.67  318
3H2G         45.80  126.67  318
3H2H         45.80  126.67  318
3H2I         43.95  125.28  318
3H2J         43.95  125.28  318
3H2K         43.95  125.28  318
3H2L         43.95  125.28  318
3H2M         43.95  125.28  318
3H2N         43.95  125.28  318
3H2O         43.95  125.28  318
3H2P         43.95  125.28  318
3H2Q         41.80  123.45  318
3H2R         41.80  123.45  318
3H2S         41.80  123.45  318
3H2T         41.80  123.45  318
3H2U         41.80  123.45  318
3H2V         41.80  123.45  318
3H2W         41.80  123.45  318
3H2X         41.80  123.45  318
3H3A         39.13  117.17  318
3H3B         39.13  117.17  318
3H3C         39.13  117.17  318
3H3D         39.13  117.17  318
3H3E         39.13  117.17  318
3H3F         39.13  117.17  318
3H3G         40.87  111.67  318
3H3H         40.87  111.67  318
3H3I         40.87  111.67  318
3H3J         40.87  111.67  318
3H3K         40.87  111.67  318
3H3L         40.87  111.67  318
3H3M         38.03  114.47  318
3H3N         38.03  114.47  318
3H3O         38.03  114.47  318
3H3P         38.03  114.47  318
3H3Q         38.03  114.47  318
3H3R         38.03  114.47  318
3H3S         37.87  112.55  318
3H3T         37.87  112.55  318
3H3U         37.87  112.55  318
3H3V         37.87  112.55  318
3H3W         37.87  112.55  318
3H3X         37.87  112.55  318
3H4A         31.25  121.43  318
3H4B         31.25  121.43  318
3H4C         31.25  121.43  318
3H4D         31.25  121.43  318
3H4E         31.25  121.43  318
3H4F         31.25  121.43  318
3H4G         31.25  121.43  318
3H4H         31.25  121.43  318
3H4I         36.63  117.02  318
3H4J         36.63  117.02  318
3H4K         36.63  117.02  318
3H4L         36.63  117.02  318
3H4M         36.63  117.02  318
3H4N         36.63  117.02  318
3H4O         36.63  117.02  318
3H4P         36.63  117.02  318
3H4Q         32.03  118.78  318
3H4R         32.03  118.78  318
3H4S         32.03  118.78  318
3H4T         32.03  118.78  318
3H4U         32.03  118.78  318
3H4V         32.03  118.78  318
3H4W         32.03  118.78  318
3H4X         32.03  118.78  318
3H5A         30.30  120.18  318
3H5B         30.30  120.18  318
3H5C         30.30  120.18  318
3H5D         30.30  120.18  318
3H5E         30.30  120.18  318
3H5F         30.30  120.18  318
3H5G         30.30  120.18  318
3H5H         30.30  120.18  318
3H5I         30.72  106.03  318
3H5J         30.72  106.03  318
3H5K         30.72  106.03  318
3H5L         30.72  106.03  318
3H5M         30.72  106.03  318
3H5N         30.72  106.03  318
3H5O         30.72  106.03  318
3H5P         30.72  106.03  318
3H5Q         26.08  119.27  318
3H5R         26.08  119.27  318
3H5S         26.08  119.27  318
3H5T         26.08  119.27  318
3H5U         26.08  119.27  318
3H5V         26.08  119.27  318
3H5W         26.08  119.27  318
3H5X         26.08  119.27  318
3H6A         31.87  117.30  318
3H6B         31.87  117.30  318
3H6C         31.87  117.30  318
3H6D         31.87  117.30  318
3H6E         31.87  117.30  318
3H6F         31.87  117.30  318
