#call,Hz,unix,mode,grid,lat,lng,park,org
2E0BRU,14074000,1769855632,FT8,IO94RK,54.4197,-0.546219,GB-3364,POTA
2M0NZB,14287000,1769855639,SSB,IO75OP,55.639,-4.79965,GB-1377,POTA
9A1MC,7183000,1769855347,SSB,JN85ul,45.49008,17.73568,9A/IH-006,SOTA
9A1MC,7074000,1769854466,DATA,JN85ul,45.49008,17.73568,9A/IH-006,SOTA
9A1MC,7196000,1769853334,SSB,JN85ul,45.49008,17.73568,9A/IH-006,SOTA
BA6IM,10138000,1769855539,FT8,OM65WH,35.3061,113.905,CN-0655,POTA
DF1AI/P,10120000,1769855004,CW,JN67fr,47.71642,12.43437,DL/CG-109,SOTA
DM3FAM/P,14059000,1769854562,CW,JN48ab,48.06220,8.01110,DM/BW-009,SOTA
DM3FAM/P,7109500,1769853934,SSB,JN48ab,48.06220,8.01110,DM/BW-009,SOTA
DM3FAM/P,14297000,1769853110,SSB,JN48ab,48.06220,8.01110,DM/BW-009,SOTA
DS1TSY,7074000,1769854697,FT8,PM37KL,37.4869,126.847,KR-0759,POTA
EA1CN,14058000,1769855702,CW,IM98WM,38.535,-0.09,ES-0975,POTA
EA2EXN,7097000,1769854631,SSB,IN81mt,41.81141,-2.97857,EA1/SO-021,SOTA
EA2EXN,14301000,1769853764,SSB,IN81mt,41.81141,-2.97857,EA1/SO-021,SOTA
EA2EZ/P,7198000,1769853980,CW,IN91OK,41.4556,-0.8139,ES-0805,POTA
EA3JAQ,14278000,1769855672,SSB,JN11IT,41.7957,2.7338,ES-0312,POTA
EA8AMT,145525000,1769854372,FM,IL18pf,28.21760,-16.69200,EA8/TF-006,SOTA
EA8DIR,14281000,1769854059,SSB,IL18pf,28.22580,-16.69870,EA8/TF-005,SOTA
EA8DKV,21285000,1769855243,SSB,IL18pf,28.22580,-16.69870,EA8/TF-005,SOTA
EA8DKV,24947000,1769854314,SSB,IL18pf,28.22580,-16.69870,EA8/TF-005,SOTA
EA8DKV,28380000,1769853431,SSB,IL18pf,28.22580,-16.69870,EA8/TF-005,SOTA
EB4GSN,28075000,1769854043,FT8,IM77OV,37.8794,-4.77976,ES-2153,POTA
EI4JY/P,14066000,1769855112,CW,IO62ux,52.99515,-6.26418,EI/IE-035,SOTA
EI4JY/P,10124000,1769853332,CW,IO62ux,52.99515,-6.26418,EI/IE-035,SOTA
F4FSZ,18089000,1769855665,CW,JN38GD,48.1627,6.51169,FR-8274,POTA
